iter	Logloss
0	0.5750616305
1	0.4700054099
2	0.385561083
3	0.3179643144
4	0.2617960977
5	0.2180927235
6	0.1814487127
7	0.15338393
8	0.1266540473
9	0.1081152968
10	0.09098801218
11	0.07739529763
12	0.06624888105
13	0.05730132614
14	0.05001722711
15	0.04409017953
16	0.03918862005
17	0.03481472797
18	0.03149763604
19	0.02870436606
20	0.02623023405
21	0.02414806625
22	0.0223843492
23	0.02089046316
24	0.01956548772
25	0.01845458483
26	0.01754206236
27	0.01669966435
28	0.0160111923
29	0.0153963771
30	0.01493841904
31	0.01445499396
32	0.01405161462
33	0.01366079022
34	0.0133079811
35	0.01300701172
36	0.01273837573
37	0.01252192726
38	0.01231603209
39	0.01213988469
40	0.01196597754
41	0.01185030675
42	0.01170907532
43	0.01156827669
44	0.01144804185
45	0.01134439394
46	0.01125966897
47	0.01118352618
48	0.01109852302
49	0.0110477263
50	0.01098361849
51	0.01092260212
52	0.01087115278
53	0.01081424914
54	0.01076903386
55	0.01073801695
56	0.01070832183
57	0.01068766823
58	0.01065087585
59	0.01061189986
60	0.01057987975
61	0.01055865289
62	0.01053061274
63	0.01050388792
64	0.01047698621
65	0.01045445183
66	0.0104322644
67	0.01041800444
68	0.01040463268
69	0.0103994106
70	0.01039543168
71	0.01038573826
72	0.01038170266
73	0.01037763648
74	0.01037444796
75	0.01037080449
76	0.01036767964
77	0.01036385167
78	0.01035698589
79	0.01033852334
80	0.01033567369
81	0.01032574649
82	0.01032340896
83	0.01032105541
84	0.01031759172
85	0.0103077368
86	0.01029188343
87	0.0102864854
88	0.01028473457
89	0.01028295624
90	0.01028069678
91	0.0102786972
92	0.01027710237
93	0.01026226815
94	0.01026025078
95	0.0102588927
96	0.01025730375
97	0.01025592534
98	0.01025431442
99	0.01025272666
100	0.01024039438
101	0.01023088631
102	0.01022650407
103	0.01022543846
104	0.01022424908
105	0.0102230761
106	0.01022238871
107	0.01022141631
108	0.01022031933
109	0.01021948564
110	0.01021854645
111	0.01021694326
112	0.01021589772
113	0.01021278133
114	0.01021174058
115	0.01021054849
116	0.01019667502
117	0.01019522417
118	0.0101943195
119	0.01019350912
120	0.01018770875
121	0.01018649391
122	0.01018518509
123	0.0101836769
124	0.0101828741
125	0.01017019633
126	0.01016940207
127	0.01016861441
128	0.01016776175
129	0.01016061784
130	0.01015997271
131	0.01015927369
132	0.01015249273
133	0.01015195153
134	0.01015106109
135	0.0101503554
136	0.01014913586
137	0.01014849172
138	0.01014571011
139	0.01014501642
140	0.01014425033
141	0.01014354339
142	0.01013190931
143	0.01013129719
144	0.01012125225
145	0.01010021783
146	0.01009958203
147	0.01009777627
148	0.01007844594
149	0.01007014965
150	0.01006956669
151	0.01006892231
152	0.01006805953
153	0.01005637494
154	0.01005549137
155	0.01005492768
156	0.01005436996
157	0.01004936152
158	0.01004894495
159	0.01004074133
160	0.01003954695
161	0.01003874098
162	0.01003412359
163	0.01003346524
164	0.01003295165
165	0.0100325726
166	0.01003203363
167	0.01002725057
168	0.01002275032
169	0.01002194405
170	0.01002149193
171	0.01002090169
172	0.01001998394
173	0.01001486544
174	0.01001445998
175	0.01001186779
176	0.01001124288
177	0.01001082453
178	0.009990244535
179	0.009989753426
180	0.009989418704
181	0.009981239622
182	0.00997653526
183	0.009974314561
184	0.00997007678
185	0.009969658624
186	0.009969065885
187	0.009965013507
188	0.009964634906
189	0.009964119464
190	0.009960933724
191	0.009960468628
192	0.009957352608
193	0.009956986864
194	0.009952802126
195	0.009952090585
196	0.009951272122
197	0.009949172263
198	0.009945610842
199	0.009945311154
200	0.009944965059
201	0.009943135581
202	0.009942702886
203	0.009942381983
204	0.009942139007
205	0.009941705435
206	0.009941191283
207	0.009939726047
208	0.009936796731
209	0.00993648218
210	0.009936317427
211	0.009935743152
212	0.009932667042
213	0.009932379316
214	0.009930051095
215	0.009929431752
216	0.009928872581
217	0.009928323632
218	0.009927854752
219	0.009924869566
220	0.00992190368
221	0.009919472027
222	0.00991920166
223	0.009916612927
224	0.00991642157
225	0.009916184823
226	0.009915881495
227	0.00991328214
228	0.009912496856
229	0.009912311593
230	0.009911984899
231	0.009896130245
232	0.009893885602
233	0.009893710129
234	0.009890606577
235	0.009888577015
236	0.009888173193
237	0.009886332814
238	0.009886173739
239	0.009885966462
240	0.009871559699
241	0.009871330604
242	0.009870052222
243	0.009869815498
244	0.009869527509
245	0.009868595647
246	0.009868425423
247	0.009866687725
248	0.009864496781
249	0.009864310977
250	0.009863816302
251	0.009860801071
